City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,iqaluit,63.7506,-68.5145,266.0,63,75,5.14,CA,1698608968
118,sinabang,2.4803,96.3801,298.62,84,100,1.56,ID,1698608969
119,ancud,-41.8697,-73.8203,281.83,56,42,9.56,CL,1698608970
120,stephenville,32.2207,-98.2023,279.78,93,100,6.69,US,1698608970
121,thompson,55.7435,-97.8558,269.24,68,75,3.09,CA,1698608972
122,mountain home,43.133,-115.6912,279.5,51,0,5.66,US,1698608972
123,aquiraz,-3.9014,-38.3911,303.2,67,39,5.77,BR,1698608973
124,slave lake,55.2834,-114.769,274.14,64,0,2.57,CA,1698608794
125,maxixe,-23.8597,35.3472,293.06,93,75,7.72,MZ,1698608974
126,andapa,-14.65,49.65,293.06,100,51,0.46,MG,1698608975
127,caleta de carquin,-11.0925,-77.6267,295.18,77,62,5.64,PE,1698608975
128,invercargill,-46.4,168.35,282.05,93,13,1.79,NZ,1698608976
129,bredasdorp,-34.5322,20.0403,286.63,61,0,9.19,ZA,1698608977
130,kaiapoi,-43.3783,172.6401,287.35,85,20,6.17,NZ,1698608977
131,north bend,43.4065,-124.2243,292.08,36,0,4.12,US,1698608978
132,derince,40.7569,29.83,292.55,100,84,2.02,TR,1698608979
133,alofi,-19.0595,-169.9187,299.09,78,100,7.2,NU,1698608979
134,inarajan village,13.2736,144.7484,301.23,94,8,3.56,GU,1698608980
135,nizhneudinsk,54.9076,99.0276,264.83,58,18,1.36,RU,1698608980
136,fish town,5.1964,-7.8756,296.78,90,2,1.17,LR,1698608981
137,tengrela,10.4869,-6.4097,300.59,39,0,1.93,CI,1698608982
138,aldama,22.9167,-98.0667,303.98,65,77,3.42,MX,1698608983
139,juan griego,11.0817,-63.9655,304.21,64,83,3.43,VE,1698608983
140,boguchany,58.3814,97.4531,265.29,79,13,1.34,RU,1698608984
141,port mathurin,-19.6833,63.4167,297.69,79,10,6.74,MU,1698608985
142,kachug,53.9606,105.8817,267.07,88,9,0.45,RU,1698608985
143,west island,-12.1568,96.8225,299.14,78,100,7.2,CC,1698608986
144,ocos,14.5094,-92.1933,299.73,82,100,3.25,GT,1698608986
145,tromso,69.6496,18.957,269.16,93,40,2.06,NO,1698608887
146,mazagao,-0.115,-51.2894,307.18,47,33,4.28,BR,1698608988
147,palmer,42.1584,-72.3287,281.96,82,100,3.09,US,1698608988
148,pangody,65.85,74.4859,258.91,95,18,1.49,RU,1698608989
149,miagao,10.6442,122.2352,298.91,84,48,4.39,PH,1698608990
150,yanbu,24.0891,38.0637,301.17,78,0,1.54,SA,1698608990
151,la passe,45.5549,-0.8967,287.03,90,100,5.09,FR,1698608991
152,lorengau,-2.0226,147.2712,299.07,86,100,3.17,PG,1698608991
153,comodoro rivadavia,-45.8667,-67.5,286.07,30,75,5.14,AR,1698608992
154,sao joao da barra,-21.6403,-41.0511,302.2,84,96,9.68,BR,1698608993
155,santo antonio da platina,-23.295,-50.0772,295.18,93,100,1.37,BR,1698608779
156,chonchi,-42.6128,-73.8092,283.22,69,55,5.14,CL,1698608995
157,horta,38.5333,-28.6333,288.95,81,20,2.24,PT,1698608995
158,chake chake,-5.2459,39.7666,299.09,85,84,3.22,TZ,1698608996
159,hue,16.4667,107.6,298.21,94,75,0.51,VN,1698608996
160,iskateley,67.6803,53.1512,264.27,86,100,5.81,RU,1698608997
161,port elizabeth,-33.918,25.5701,287.77,72,20,4.12,ZA,1698608998
162,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,75,5.0,RU,1698608998
163,tiksi,71.6872,128.8694,259.09,96,97,2.65,RU,1698608999
164,sur,22.5667,59.5289,300.23,66,83,3.79,OM,1698609000
165,remire-montjoly,4.9167,-52.2667,305.17,58,0,5.66,GF,1698609000
166,afaahiti,-17.75,-149.2833,300.08,82,29,6.7,PF,1698609001
167,kruisfontein,-34.0033,24.7314,284.55,65,38,2.64,ZA,1698609002
168,papatowai,-46.5619,169.4708,284.23,58,13,0.94,NZ,1698609003
169,noosa heads,-26.3833,153.15,288.21,76,8,1.84,AU,1698609004
170,hami,42.8,93.45,285.49,36,100,3.17,CN,1698609004
171,volosovo,59.4333,29.4833,272.83,88,100,2.31,RU,1698609005
172,maumere,-8.6199,122.2111,298.74,79,65,0.6,ID,1698609006
173,morant bay,17.8815,-76.4093,305.77,76,43,3.18,JM,1698609006
174,verkhnevilyuysk,63.4453,120.3167,260.29,94,47,2.33,RU,1698608729
175,vorkuta,67.5,64.0,255.7,98,24,2.2,RU,1698609008
176,monrovia,6.3005,-10.7969,300.02,83,44,3.95,LR,1698609008
177,sao miguel do araguaia,-13.275,-50.1628,310.72,26,20,3.16,BR,1698609010
178,portage la prairie,49.9728,-98.2926,272.1,53,25,3.73,CA,1698609011
179,stanley,54.868,-1.6985,281.92,93,75,3.6,GB,1698609011
180,matsubase,32.65,130.6667,287.14,72,0,1.6,JP,1698609012
181,christchurch,-43.5333,172.6333,287.27,80,20,6.17,NZ,1698608800
182,pisco,-13.7,-76.2167,298.18,61,0,9.26,PE,1698609014
183,sassandra,4.95,-6.0833,298.88,86,0,2.14,CI,1698609014
184,san luis de la loma,17.2706,-100.8939,302.63,74,23,3.69,MX,1698609015
185,anadyr,64.75,177.4833,271.43,92,75,8.0,RU,1698608813
186,mana,5.6592,-53.7767,301.84,76,100,6.74,GF,1698609016
187,poso,-1.3959,120.7524,298.17,78,50,1.76,ID,1698609017
188,cannonvale,-20.2833,148.7,294.81,67,17,3.44,AU,1698609018
189,ghanzi,-21.5667,21.7833,300.62,17,3,3.54,BW,1698609018
190,kingston,17.997,-76.7936,305.51,63,20,3.09,JM,1698609019
191,aasiaat,68.7098,-52.8699,266.14,84,100,0.79,GL,1698609019
192,bouarfa,32.53,-1.95,294.55,32,99,7.0,MA,1698609020
193,aykhal,66.0,111.5,247.86,99,50,2.48,RU,1698609021
194,pointe michel,15.25,-61.3833,302.31,89,75,1.03,DM,1698609021
195,greenland,43.0362,-70.8328,282.73,81,100,2.06,US,1698609022
196,susuman,62.7833,148.1667,255.36,99,96,0.45,RU,1698609022
197,pisz,53.6274,21.8125,285.47,84,100,5.68,PL,1698608918
198,taltal,-25.4,-70.4833,291.38,70,29,2.84,CL,1698609021
199,vilyuysk,63.7553,121.6247,258.71,97,51,2.24,RU,1698609024
200,bozhou,33.8772,115.7703,290.56,59,0,2.94,CN,1698608888
201,east falmouth,41.5784,-70.5586,283.7,92,100,5.81,US,1698609025
202,katsuura,35.1333,140.3,288.23,66,0,5.38,JP,1698609027
203,bocas del toro,9.3333,-82.25,302.1,70,25,2.24,PA,1698608929
204,khed,17.7167,73.3833,296.82,57,6,1.6,IN,1698609028
205,pindushi,62.9152,34.58,267.0,91,31,1.81,RU,1698609029
206,burang,30.25,81.1667,272.87,87,19,1.4,CN,1698609029
207,longyearbyen,78.2186,15.6401,268.06,93,75,3.09,SJ,1698609030
208,mata-utu,-13.2816,-176.1745,301.39,75,33,1.8,WF,1698609031
209,acapulco de juarez,16.8634,-99.8901,302.62,73,69,4.05,MX,1698609032
210,happy valley-goose bay,53.3168,-60.3315,275.32,48,75,12.86,CA,1698608744
211,murghob,38.1702,73.9667,272.5,54,26,1.31,TJ,1698609034
212,nuuk,64.1835,-51.7216,272.49,86,100,5.66,GL,1698608996
213,mkokotoni,-5.8767,39.2547,299.26,86,11,3.93,TZ,1698609036
214,jabor,5.921,169.6434,301.39,76,60,4.53,MH,1698609036
215,drohobych,49.3499,23.5056,287.54,59,99,9.16,UA,1698609037
216,kristiansund,63.1115,7.732,274.51,80,0,2.57,NO,1698609037
217,janowiec wielkopolski,52.7558,17.4898,286.58,78,100,6.09,PL,1698609038
218,argo,37.6333,22.7333,291.92,68,4,1.13,GR,1698609039
219,tazovsky,67.4667,78.7,257.26,94,14,1.51,RU,1698609039
220,nguigmi,14.2495,13.1092,303.53,21,50,4.13,NE,1698609040
221,flin flon,54.7682,-101.865,271.06,74,75,5.14,CA,1698609041
222,margate,51.3813,1.3862,286.98,89,100,10.91,GB,1698608750
223,st. john's,47.5649,-52.7093,281.01,67,75,11.32,CA,1698609042
224,chuguyevka,44.1653,133.8633,274.98,55,15,1.8,RU,1698609043
225,igarka,67.4667,86.5833,256.46,97,36,0.9,RU,1698609044
226,hadibu,12.65,54.0333,299.54,74,34,3.63,YE,1698609045
227,hawaiian paradise park,19.5933,-154.9731,301.97,68,20,0.45,US,1698609045
228,san juan de los morros,9.9115,-67.3538,303.27,60,98,0.9,VE,1698609046
229,xingcheng,40.6167,120.7167,288.41,88,100,1.59,CN,1698609046
230,warrenpoint,54.0995,-6.2509,285.42,87,100,7.31,GB,1698609047
231,ljungsbro,58.5167,15.5,277.09,97,100,3.6,SE,1698609048
232,quellon,-43.1167,-73.6167,281.16,68,92,6.96,CL,1698608778
233,tabou,4.423,-7.3528,299.28,85,1,2.37,CI,1698609049
